Q^2 	 xB 	 F2  	  errF2  	  F1  	  errF1  	  FL  	  errFL
3.75	0.84372	0.0255479	0.00246114 	 0.0209076 	 0.00129725 	 0.00734551 	 0.00347423
3.75	0.83434	0.0244098	0.00234273 	 0.0223984 	 0.00125782 	 0.00299051 	 0.00325633
3.75	0.79037	0.0308079	0.00449591 	 0.0293972 	 0.00252254 	 0.00241071 	 0.00591465
3.75	0.78213	0.0340334	0.00495509 	 0.0319222 	 0.002789 	 0.00364895 	 0.00646761
3.75	0.77406	0.0377016	0.0051586 	 0.0361038 	 0.00290294 	 0.00302125 	 0.00669206
3.75	0.76615	0.0392589	0.0057954 	 0.0404525 	 0.00330599 	 -0.00108664 	 0.00742667
3.75	0.7584	0.0495838	0.00654821 	 0.0394992 	 0.00372735 	 0.0164521 	 0.00835123
3.75	0.75081	0.0566976	0.00696444 	 0.0451129 	 0.00394988 	 0.0189682 	 0.00884684
3.75	0.74337	0.0651854	0.00811458 	 0.0581367 	 0.00461055 	 0.0125769 	 0.0102434
3.75	0.73607	0.0755545	0.00893509 	 0.0606172 	 0.0050824 	 0.0247577 	 0.0112142
3.75	0.72892	0.0745496	0.011026 	 0.0597247 	 0.00607317 	 0.0246762 	 0.0139557
3.75	0.7219	0.0631451	0.0100542 	 0.0674306 	 0.00555697 	 -0.00330967 	 0.0126437
3.75	0.71502	0.0627251	0.00961077 	 0.0600172 	 0.00531621 	 0.00701173 	 0.0120228
3.75	0.70827	0.058764	0.00923114 	 0.0595734 	 0.00512222 	 0.00205777 	 0.0114787
3.75	0.70164	0.0592461	0.0069334 	 0.0610054 	 0.00375998 	 0.00102733 	 0.00865752
3.75	0.68876	0.0627675	0.0071303 	 0.0668307 	 0.00386724 	 -0.0013318 	 0.00882317
3.75	0.68249	0.0697232	0.00801655 	 0.0621547 	 0.00439352 	 0.0153801 	 0.00983944
3.75	0.67633	0.0758037	0.00864149 	 0.0693051 	 0.00475153 	 0.0146181 	 0.0105497
3.75	0.67029	0.088873	0.00912368 	 0.0706262 	 0.00498248 	 0.0316886 	 0.0111213
