F2 deuterium data from Simona Malace
JLab experiment E00106
PhD thesis, Hampton University, December 2006
                                                                                
= 0.0000   normalisation factor

     x         Q^2         F2d          i        stat        syst       dummy      dummy    
  0.7228      5.2477      0.0727     110.00     0.0011      0.0018     1.0000      1.0000   
  0.7334      5.3015      0.0678     111.00     0.0011      0.0017     1.0000      1.0000   
  0.7440      5.3554      0.0619     112.00     0.0010      0.0016     1.0000      1.0000   
  0.7548      5.4092      0.0553     113.00     0.0010      0.0014     1.0000      1.0000   
  0.7657      5.4630      0.0491     114.00     0.0009      0.0012     1.0000      1.0000   
  0.7766      5.5168      0.0440     115.00     0.0008      0.0011     1.0000      1.0000   
  0.7877      5.5706      0.0430     116.00     0.0009      0.0011     1.0000      1.0000   
  0.7988      5.6245      0.0403     117.00     0.0008      0.0010     1.0000      1.0000   
  0.8101      5.6783      0.0354     118.00     0.0008      0.0009     1.0000      1.0000   
  0.8214      5.7321      0.0322     119.00     0.0007      0.0008     1.0000      1.0000   
  0.8329      5.7859      0.0270     120.00     0.0006      0.0007     1.0000      1.0000   
  0.8336      5.7893      0.0282     121.00     0.0008      0.0007     1.0000      1.0000   
  0.8471      5.8519      0.0252     122.00     0.0007      0.0006     1.0000      1.0000   
  0.8607      5.9144      0.0205     123.00     0.0006      0.0005     1.0000      1.0000   
  0.8744      5.9770      0.0163     124.00     0.0006      0.0004     1.0000      1.0000   
  0.8883      6.0396      0.0144     125.00     0.0005      0.0004     1.0000      1.0000   
  0.9024      6.1022      0.0116     126.00     0.0005      0.0003     1.0000      1.0000   
  0.9166      6.1648      0.0111     127.00     0.0005      0.0003     1.0000      1.0000   
  0.9310      6.2274      0.0096     128.00     0.0005      0.0003     1.0000      1.0000   
  0.9455      6.2900      0.0070     129.00     0.0004      0.0003     1.0000      1.0000   
  0.9602      6.3525      0.0035     130.00     0.0004      0.0002     1.0000      1.0000   
  0.6032      5.0149      0.1467     131.00     0.0022      0.0037     1.0000      1.0000   
  0.6113      5.0691      0.1362     132.00     0.0021      0.0035     1.0000      1.0000   
  0.6195      5.1233      0.1305     133.00     0.0021      0.0033     1.0000      1.0000   
  0.6277      5.1775      0.1249     134.00     0.0020      0.0032     1.0000      1.0000   
  0.6359      5.2318      0.1189     135.00     0.0019      0.0030     1.0000      1.0000   
  0.6442      5.2860      0.1066     136.00     0.0018      0.0027     1.0000      1.0000   
  0.6526      5.3402      0.1024     137.00     0.0018      0.0026     1.0000      1.0000   
  0.6609      5.3944      0.0999     138.00     0.0017      0.0025     1.0000      1.0000   
  0.6694      5.4486      0.0935     139.00     0.0017      0.0024     1.0000      1.0000   
  0.6778      5.5028      0.0883     140.00     0.0017      0.0022     1.0000      1.0000   
  0.6864      5.5571      0.0821     141.00     0.0016      0.0021     1.0000      1.0000   
  0.6949      5.6113      0.0781     142.00     0.0016      0.0020     1.0000      1.0000   
