"SUPPLEMENTAL MATERIAL FOR PRC ARTICLE ""MEASUREMENT OF THE NEARLY FREE NEUTRON STRUCTURE FUNCTION USING SPECTATOR TAGGING IN INELASTIC 2H(E,E'PS)X SCATTERING WITH CLAS"" BY S. TKACHENKO ET AL."								
								
*****     Ratio EXP/SIMULATION vs. cos(theta_pq) for 4 GeV beam energy and 3 bins in Q2 times 5 bins in W* times 4 bins in p_s  (see Fig. 12)   *****								
								
Q2	0.93	"GeV/c,"	W	1.17	"GeV,"	p_s	0.078	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	0.9	1.298	0.055	0.178				
								
Q2	1.66	"GeV/c,"	W	1.73	"GeV,"	p_s	0.078	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	1.013	0.057	0.123				
	-0.7	1.138	0.034	0.135				
	-0.5	1.011	0.026	0.12				
	-0.3	1.054	0.024	0.127				
	-0.1	1.098	0.023	0.134				
	0.1	1.094	0.024	0.135				
	0.3	1.102	0.025	0.138				
	0.5	1.125	0.029	0.144				
	0.7	1.167	0.035	0.151				
	0.9	1.126	0.053	0.15				
								
Q2	1.66	"GeV/c,"	W	1.73	"GeV,"	p_s	0.093	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	1.148	0.036	0.135				
	-0.7	1.088	0.026	0.128				
	-0.5	1.101	0.024	0.131				
	-0.3	1.03	0.023	0.125				
	-0.1	0.949	0.023	0.116				
	0.1	1.014	0.024	0.127				
	0.3	1.029	0.025	0.131				
	0.5	1.074	0.026	0.139				
	0.7	1.083	0.029	0.142				
	0.9	1.192	0.037	0.159				
								
Q2	1.66	"GeV/c,"	W	1.73	"GeV,"	p_s	0.11	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	1.195	0.037	0.141				
	-0.7	1.104	0.029	0.13				
	-0.5	1.068	0.028	0.128				
	-0.3	0.993	0.028	0.121				
	-0.1	0.926	0.027	0.115				
	0.1	0.925	0.027	0.117				
	0.3	1.048	0.029	0.135				
	0.5	1.061	0.03	0.139				
	0.7	1.165	0.033	0.155				
	0.9	1.236	0.039	0.166				
								
Q2	1.66	"GeV/c,"	W	1.73	"GeV,"	p_s	0.135	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	1.143	0.044	0.135				
	-0.7	1.141	0.038	0.135				
	-0.5	1.011	0.035	0.121				
	-0.3	0.892	0.033	0.109				
	-0.1	0.856	0.033	0.107				
	0.1	0.848	0.034	0.109				
	0.3	0.911	0.034	0.119				
	0.5	0.991	0.036	0.132				
	0.7	1.06	0.039	0.144				
	0.9	1.292	0.048	0.177				
								
Q2	1.66	"GeV/c,"	W	2.03	"GeV,"	p_s	0.078	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	1.123	0.065	0.135				
	-0.7	1.158	0.028	0.133				
	-0.5	1.087	0.02	0.125				
	-0.3	1.092	0.018	0.125				
	-0.1	1.074	0.017	0.123				
	0.1	1.096	0.018	0.126				
	0.3	1.135	0.019	0.131				
	0.5	1.161	0.022	0.134				
	0.7	1.157	0.028	0.134				
	0.9	1.182	0.057	0.141				
								
Q2	1.66	"GeV/c,"	W	2.03	"GeV,"	p_s	0.093	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	1.105	0.03	0.128				
	-0.7	1.133	0.02	0.13				
	-0.5	1.036	0.018	0.12				
	-0.3	1.022	0.018	0.118				
	-0.1	1.044	0.019	0.121				
	0.1	0.944	0.018	0.109				
	0.3	0.986	0.019	0.114				
	0.5	1.036	0.019	0.12				
	0.7	1.12	0.022	0.13				
	0.9	1.115	0.03	0.131				
								
Q2	1.66	"GeV/c,"	W	2.03	"GeV,"	p_s	0.11	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	1.068	0.028	0.124				
	-0.7	1.181	0.024	0.137				
	-0.5	1.126	0.023	0.131				
	-0.3	0.944	0.021	0.11				
	-0.1	0.917	0.021	0.107				
	0.1	0.924	0.021	0.108				
	0.3	1.008	0.022	0.118				
	0.5	1.092	0.023	0.128				
	0.7	1.208	0.025	0.142				
	0.9	1.214	0.031	0.143				
								
Q2	1.66	"GeV/c,"	W	2.03	"GeV,"	p_s	0.135	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	1.124	0.037	0.131				
	-0.7	1.14	0.031	0.133				
	-0.5	1.084	0.029	0.127				
	-0.3	0.904	0.026	0.106				
	-0.1	0.85	0.026	0.1				
	0.1	0.894	0.026	0.105				
	0.3	0.927	0.027	0.11				
	0.5	1.066	0.029	0.126				
	0.7	1.182	0.031	0.14				
	0.9	1.326	0.039	0.159				
								
Q2	1.66	"GeV/c,"	W	2.44	"GeV,"	p_s	0.078	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	0.993	0.151	0.15				
	-0.7	1.072	0.048	0.125				
	-0.5	1.024	0.031	0.117				
	-0.3	1.013	0.025	0.115				
	-0.1	1.048	0.023	0.119				
	0.1	1.018	0.022	0.116				
	0.3	1.038	0.022	0.118				
	0.5	1.185	0.025	0.135				
	0.7	1.202	0.033	0.138				
	0.9	1.129	0.073	0.137				
								
Q2	1.66	"GeV/c,"	W	2.44	"GeV,"	p_s	0.093	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	1.008	0.062	0.12				
	-0.7	1.02	0.034	0.117				
	-0.5	1.074	0.031	0.123				
	-0.3	0.947	0.025	0.108				
	-0.1	0.869	0.023	0.099				
	0.1	0.927	0.023	0.106				
	0.3	0.935	0.021	0.107				
	0.5	1.06	0.022	0.121				
	0.7	1.103	0.023	0.126				
