 12.0 .00500 .685 .016 .061 .32
 12.0 .00800 .618 .016 .057 .30
 12.0 .01300 .531 .017 .049 .26
 15.0 .00032 1.426 .030 .064 .37
 15.0 .00050 1.280 .020 .050 .36
 15.0 .00080 1.110 .018 .057 .35
 15.0 .00130 1.008 .016 .033 .35
 15.0 .00200 .895 .015 .046 .34
 15.0 .00320 .773 .014 .036 .32
 15.0 .00500 .677 .014 .035 .30
 15.0 .00800 .634 .014 .031 .28
 15.0 .01300 .547 .013 .027 .24
 20.0 .00050 1.407 .026 .054 .34
 20.0 .00080 1.210 .022 .050 .33
 20.0 .00130 1.061 .020 .055 .33
 20.0 .00200 .945 .018 .042 .32
 20.0 .00320 .861 .017 .038 .31
 20.0 .00500 .761 .017 .028 .30
 20.0 .00800 .693 .016 .035 .28
 20.0 .01300 .567 .015 .024 .26
 20.0 .02000 .487 .015 .025 .22
 25.0 .00050 1.546 .047 .058 .40
 25.0 .00080 1.330 .028 .051 .39
 25.0 .00130 1.151 .024 .047 .38
 25.0 .00200 1.019 .022 .035 .37
 25.0 .00320 .872 .020 .034 .35
 25.0 .00500 .768 .019 .034 .33
 25.0 .00800 .683 .018 .031 .30
 25.0 .01300 .585 .017 .028 .26
 25.0 .02000 .548 .017 .037 .22
 35.0 .00080 1.442 .038 .051 .36
 35.0 .00130 1.308 .032 .052 .35
 35.0 .00200 1.116 .027 .052 .33
 35.0 .00320 .928 .024 .038 .32
 35.0 .00500 .832 .023 .040 .30
 35.0 .00800 .739 .022 .035 .27
 35.0 .01300 .600 .019 .025 .24
 35.0 .02000 .508 .019 .019 .20
 35.0 .03200 .452 .019 .026 .16
 45.0 .00130 1.305 .038 .048 .32
 45.0 .00200 1.225 .034 .049 .31
 45.0 .00320 1.105 .032 .058 .30
 45.0 .00500 .912 .028 .033 .28
 45.0 .00800 .743 .025 .029 .26
 45.0 .01300 .686 .024 .031 .22
 45.0 .02000 .599 .022 .027 .19
 45.0 .03200 .505 .021 .023 .15
 45.0 .05000 .411 .022 .028 .12
 60.0 .00200 1.213 .042 .048 .29
 60.0 .00320 1.079 .037 .045 .28
 60.0 .00500 .937 .033 .043 .26
 60.0 .00800 .830 .031 .046 .24
 60.0 .01300 .701 .028 .029 .21
 60.0 .02000 .639 .027 .025 .18
 60.0 .03200 .586 .026 .028 .14
 60.0 .05000 .492 .025 .023 .11
 60.0 .08000 .432 .027 .023 .08
 90.0 .00320 1.103 .052 .048 .26
 90.0 .00500 .997 .045 .047 .24
 90.0 .00800 .908 .041 .056 .22
 90.0 .01300 .726 .035 .040 .19
 90.0 .02000 .650 .033 .031 .17
 90.0 .03200 .587 .030 .034 .13
 90.0 .05000 .481 .027 .019 .10
 120.0 .00500 1.018 .094 .076 .23
 120.0 .00800 .914 .068 .056 .21
 120.0 .01300 .755 .063 .111 .18
 120.0 .02000 .570 .049 .057 .16
 120.0 .03200 .582 .048 .060 .13
 120.0 .05000 .402 .035 .045 .10
 120.0 .08000 .330 .032 .034 .07
 150.0 .00320 1.292 .069 .067 .23
 150.0 .00500 1.067 .065 .057 .22
 150.0 .00800 .928 .061 .060 .20
 150.0 .01300 .716 .064 .079 .17
 150.0 .02000 .566 .069 .114 .15
 150.0 .03200 .598 .085 .103 .12
 150.0 .05000 .424 .071 .065 .09
 200.0 .00500 1.065 .059 .053 .21
 200.0 .00800 .853 .051 .038 .19
 200.0 .01300 .787 .052 .071 .17
