Table  V. (cont'd) pi* integral invariant crone sections																			
K0=9 GeV (P*max=2.000 GeV/c)																			
Plab	PT	P*L	Kmin	Hydrogen		Deuterion													
(GeV/c)	(GeV/c)	(GeV/C)	(GeV)	(pib/GeV2)		(pib/GeV2)													
6.0	1.375	0.568	7.24	2.33+-0.05	E-2														
6.0	1.500	0.477	7.54	9.22+-0.38 	E-3														
6.0	1.625	0.377	7.89	3.21+-0.12	E-3	6.46+-0.20 E-3													
6.0	1.750	0.269	0.32	1.12+-0.06	E-3														
6.0	1.075	0.151	8.84	3.76+-0.26	E-4														
6.0	2.000	0.025	0.47	1.23+-0.16	E-4														
7.0	1.500	0.734	0.47	6.54+-0.25	E-3														
7.0	1.625	0.649	8.80	2.62+-0.13	E-3														
7.0	1.750	0.557	9.18	9.51+-0.63	E-4														
7.0	1.875	0.459	9.63	3.38+-0.35	E-4														
7.0	2.000	0.352	10.17	1.04+-0.20	E-4														
8.0	1.625	0.856	9.74	2.08+-0.07	E-3	3.90+-0.12  E-3													
8.0	1.750	0.816	10.09	7.24+-0.46	E-4														
8.0	1.876	0.730	10.50	2.71+-0.19	E-4	5.36+-0.33  E-4													
8.0	2.000	0.638	10.98	7.36+-1.21	E-5														
8.0	2.125	0.540	11.54	1.78+-0.41	E-5														
																			
K0=19 GeV (P*max=2.947 GeV/c)																			
Plab	PT	P*L	Kmin	Hydrogen		Deuterion													
(GeV/c)	(GeV/c)	(GeV/C)	(GeV)	(pib/GeV2)		(pib/GeV2)													
1.0	0.500	-0.317	1.18	9.87+-0.11	E+1	1.68+-0.02  E+2													
1.0	0.625	-0.599	1.32	3.12+-0.02	E+1														
1.0	0.750	-0.992	1.59	8.70+-0.12	E+0	1.30+-0.03  E+1													
1.0	0.875	-1.577	2.27	1.09+-0.02	E+0	1.76+-0.05  E+0													
2.0	0.625	-0.035	2.25	2.20+-0.03	E+1														
2.0	0.750	-0.186	2.38	8.24+-0.15	E+0														
2.0	0.875	-0.370	2.56	3.17+-0.06	E+0														
2.0	1.000	-0.589	2.81	1.02+-0.02 	E+0														
2.0	1.125	-0.848	3.19	2.78+-0.06      E-1														
2.0	1.250	-1.152	3.79	6.22+-0.24	E-2														
2.0	1.375	-1.511	4.85	9.12+-0.81	E-3														
2.0	1.500	-1.938	7.31	1.23+-0.28	E-3														
3.0	0.750	0.141	3.34	6.94+-0.16	E+0														
3.0	0.875	0.025	3.49	2.55+-0.03	E+0														
3.0	1.000	-0.110	3.68	9.77+-0.20	E-1														
3.0	1.125	-0.267	3.92	3.30+-0.07	E-1														
3.0	1.250	-0.444	4.24	1.13+-0.03	E-1														
3.0	1.375	-0.645	4.67	3.57+-0.08	E-2														
3.0	1.500	-0.871	5.27	9.88+-0.47	E-3														
3.0	1.625	-1.122	6.15	2.15+-0.09	E-3														
3.0	1.750	-1.403	7.56	4.70+-0.42	E-4														
3.0	1.875	-1.715	10.15	7.30+-1.08	E-5														
3.0	2.000	-2.064	16.42	2.47+-1.24	E-5														
4.0	0.875	0.294	4.47	2.26+-0.02	E+0														
4.0	1.000	0.194	4.63	9.04+-0.13	E-1														
4.0	1.125	0.081	4.84	3.20+-0.03	E-1	5.48+-0.09  E-1													
4.0	1.250	-0.048	5.09	1.13+-0.02	E-1														
4.0	1.375	-0.191	5.41	4.28+-0.10  	E-2														
4.0	1.500	-0.350	5.82	1.52+-0.03	E-2	2.55+-0.06  E-2													
4.0	1.625	-0.524	6.34	5.15+-0.17	E-3														
4.0	1.750	-0.717	7.03	1.55+-0.09 	E-3														
4.0	1.875	-0.926	7.99	3.90+-0.44	E-4														
4.0	2.000	-1.154	9.37	9.25+-1.85	E-5														
4.0	2.125	-1.403	11.54	2.04+-0.47	E-5														
5.0	1.125	0.347	5.00	2.91+-0.04	E-1														
5.0	1.250	0.246	6.03	1.10+-0.02	E-1														
5.0	1.375	0.134	6.30	4.17+-0.18	E-2														
5.0	1.500	0.010	6.64	1.69+-0.00	E-2														
5.0	1.625	-0.125	7.05	5.96+-0.18 	E-3														
5.0	1.750	-0.273	7.56	2.12+-0.16  	E-3														
5.0	1.875	-0.434	8.20	5.97+-0.28 	E-4														
5.0	2.000	-0.647	9.03	1.72+-0.17	E-4														
5.0	2.125	-0.794	10.14	6.27+-0.92	E-5														
5.0	2.250	-0.995	11.67	1.58+-0.48	E-5														
5.0	2.375	-1.209	13.93	6.62+-3.32 	E-6														
6.0	1.375	0.399	7.24	3.78+-0.06	E-2	7.05+-0.12  E-2													
6.0	1.500	0.297	7.54	1.56+-0.04	E-2														
6.0	1.625	0.186	7.89	5.91+-0.27	E-3														
6.0	1.750	0.066	8.32	2.22+-0.07	E-3	4.16+-0.15  E-3													
6.0	1.875	-0.065	8.84	7.77+-0.52	E-4														
6.0	2.000	-0.206	9.47	3.31+-0.32	E-4														
6.0	2.125	-0.357	10.26	8.68+-1.46	E-5														
6.0	2.250	-0.518	11.27	3.47+-0.85	E-5														
7.0	1.500	0.546	8.47	1.32+-0.04	E-2														
7.0	1.625	0.451	8.80	5.41+-0.28	E-3														
7.0	1.750	0.349	9.18	2.08+-0.14	E-3														
7.0	1.875	0.238	9.63	9.98+-0.75	E-4														
7.0	2.000	0.119	10.17	3.09+-0.26	E-4														
7.0	2.125	-0.007	10.82	7.96+-1.79	E-5														
7.0	2.250	-0.143	11.60	2.00+-0.52	E-5														
7.0	2.375	-0.288	12.58	1.03+-0.39	E-5														
8.0	1.627	0.686	9.74	4.56+-0.19	E-3	8.55+-0.28  E-3													
8.0	1.750	0.599	10.09	2.03+-0.17	E-3														
8.0	1.876	0.502	10.50	7.86+-0.47	E-4	1.39+-0.09  E-3													
8.0	2.001	0.400	10.98	2.65+-0.21	E-4														
8.0	2.125	0.290	11.54	9.58+-1.12	E-5	3.22+-0.37  E-4													
8.0	2.250	0.172	12.21	3.40+-1.08	E-5														
8.0	2.375	0.048	13.01	9.14+-3.47	E-6														
8.0	2.500	-0.094	13.98	5.16+-1.46	E-6														
																			
																			
